iteracion,score_final,estado,archivo,timestamp
145,1.3976683787923816,OK,heuristica_iter145.py,2025-11-03 06:58:02
146,1.3976683787923816,OK,heuristica_iter146.py,2025-11-03 06:59:17
147,1.3976683787923816,OK,heuristica_iter147.py,2025-11-03 07:00:29
148,0.0,ErrorSintaxis,,
149,1.3976683787923816,OK,heuristica_iter149.py,2025-11-03 07:03:16
150,1.3976683787923816,OK,heuristica_iter150.py,2025-11-03 07:04:17
151,1.3976683787923816,OK,heuristica_iter151.py,2025-11-03 07:05:51
152,1.3976683787923816,OK,heuristica_iter152.py,2025-11-03 07:06:45
153,1.3976683787923816,OK,heuristica_iter153.py,2025-11-03 07:07:46
154,1.3976683787923816,OK,heuristica_iter154.py,2025-11-03 07:09:52
155,1.3976683787923816,OK,heuristica_iter155.py,2025-11-03 07:11:08
156,1.3976683787923816,OK,heuristica_iter156.py,2025-11-03 07:12:13
157,1.3976683787923816,OK,heuristica_iter157.py,2025-11-03 07:13:30
158,1.3976683787923816,OK,heuristica_iter158.py,2025-11-03 07:14:55
159,1.3976683787923816,OK,heuristica_iter159.py,2025-11-03 07:16:11
160,1.3976683787923816,OK,heuristica_iter160.py,2025-11-03 07:17:18
161,1.3976683787923816,OK,heuristica_iter161.py,2025-11-03 07:18:21
162,1.3976683787923816,OK,heuristica_iter162.py,2025-11-03 07:19:46
163,1.3976683787923816,OK,heuristica_iter163.py,2025-11-03 07:21:07
164,1.3976683787923816,OK,heuristica_iter164.py,2025-11-03 07:22:07
165,1.3976683787923816,OK,heuristica_iter165.py,2025-11-03 07:23:39
166,1.3976683787923816,OK,heuristica_iter166.py,2025-11-03 07:25:06
167,1.3976683787923816,OK,heuristica_iter167.py,2025-11-03 07:26:30
168,1.3976683787923816,OK,heuristica_iter168.py,2025-11-03 07:27:44
169,1.3976683787923816,OK,heuristica_iter169.py,2025-11-03 07:28:35
170,1.3976683787923816,OK,heuristica_iter170.py,2025-11-03 07:29:59
171,1.3976683787923816,OK,heuristica_iter171.py,2025-11-03 07:31:47
172,1.3976683787923816,OK,heuristica_iter172.py,2025-11-03 07:33:12
173,1.3976683787923816,OK,heuristica_iter173.py,2025-11-03 07:34:35
174,1.3976683787923816,OK,heuristica_iter174.py,2025-11-03 07:35:53
175,1.3923327062777617,OK,heuristica_iter175.py,2025-11-03 07:38:54
176,1.3976683787923816,OK,heuristica_iter176.py,2025-11-03 07:39:47
177,1.3976683787923816,OK,heuristica_iter177.py,2025-11-03 07:41:00
178,1.3976683787923816,OK,heuristica_iter178.py,2025-11-03 07:42:41
179,1.3976683787923816,OK,heuristica_iter179.py,2025-11-03 07:44:15
180,1.3976683787923816,OK,heuristica_iter180.py,2025-11-03 07:45:12
181,1.3976683787923816,OK,heuristica_iter181.py,2025-11-03 07:46:32
182,1.3976683787923816,OK,heuristica_iter182.py,2025-11-03 07:47:45
183,1.3976683787923816,OK,heuristica_iter183.py,2025-11-03 07:49:11
184,1.3976683787923816,OK,heuristica_iter184.py,2025-11-03 07:50:21
185,1.3976683787923816,OK,heuristica_iter185.py,2025-11-03 07:51:50
186,1.3976683787923816,OK,heuristica_iter186.py,2025-11-03 07:53:05
187,1.3976683787923816,OK,heuristica_iter187.py,2025-11-03 07:54:42
188,1.3976683787923816,OK,heuristica_iter188.py,2025-11-03 07:56:09
189,1.3976683787923816,OK,heuristica_iter189.py,2025-11-03 07:57:27
190,1.3976683787923816,OK,heuristica_iter190.py,2025-11-03 07:58:46
191,1.3976683787923816,OK,heuristica_iter191.py,2025-11-03 08:00:08
192,1.3976683787923816,OK,heuristica_iter192.py,2025-11-03 08:01:35
193,1.3976683787923816,OK,heuristica_iter193.py,2025-11-03 08:03:09
194,1.3976683787923816,OK,heuristica_iter194.py,2025-11-03 08:04:10
195,1.3976683787923816,OK,heuristica_iter195.py,2025-11-03 08:05:19
196,1.3976683787923816,OK,heuristica_iter196.py,2025-11-03 08:06:46
197,1.3976683787923816,OK,heuristica_iter197.py,2025-11-03 08:08:16
198,1.3976683787923816,OK,heuristica_iter198.py,2025-11-03 08:09:25
199,1.3976683787923816,OK,heuristica_iter199.py,2025-11-03 08:10:56
200,1.3976683787923816,OK,heuristica_iter200.py,2025-11-03 08:12:25
